customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age_group,tenure_group,avg_monthly_spend
8773-hhuoz,female,0,no,yes,-0.6283446565089229,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,-0.0032644838155611237,-0.5251015154562937,yes,Young,Loyal Customer,-0.2944306576112442
3841-nfecx,female,1,yes,no,1.5718292524118322,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),1.0487955488314133,1.9781299834030968,no,Senior,Loyal Customer,-0.44419862323113707
4929-xihvw,male,1,yes,no,-1.2395040756535771,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),1.0205411719672768,-0.9272218305219706,no,Senior,New Customer,2.3931360408105458
6827-ieauq,female,0,yes,yes,-0.22090504374582004,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,0.044934159070319335,-0.18037968960016687,no,Young,Loyal Customer,-0.37735470874386223
7310-egvhz,male,0,no,no,-1.2802480369298874,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),-1.4824642137615447,-0.9984515467624158,no,Young,New Customer,0.7082128586863969
3413-bmnze,male,1,no,no,-1.2802480369298874,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),-0.6497911073537496,-0.9873998007616529,no,Senior,New Customer,2.2402392003274105
6234-raapl,female,0,yes,yes,1.6125732136881425,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),1.1667991227933967,2.1919956071104716,no,Middle-aged,Loyal Customer,-0.44233586594919466
6047-yhpvi,male,0,no,no,-1.1172721918246462,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,0.1629377330323022,-0.8675512258671538,yes,Young,New Customer,0.3253591701166268
6572-adkrs,female,0,no,no,0.5532302205040753,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),0.3324639942171226,0.5581019488579861,no,Young,Loyal Customer,-0.4277441892161302
5380-wjkov,male,0,no,no,0.06430268518835193,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,1.3811999825271402,0.5585210769498313,yes,Young,Loyal Customer,-0.3358926831775532
8168-uqwwf,female,0,no,no,-0.8728084241667845,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),1.0986562138857725,-0.5196749096355598,yes,Young,New Customer,0.016841145447202412
8865-tnmnx,male,0,yes,yes,-0.9135523854430948,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,-0.5068572008645872,-0.7974906564092247,no,Young,New Customer,-0.22415207457976086
9489-dedvp,female,0,yes,yes,1.5310852911355222,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card (automatic),0.14631751134751586,1.142256212024051,no,Middle-aged,Loyal Customer,-0.46673383320914635
9867-jczsp,female,0,yes,yes,-0.6283446565089229,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,-1.4641819699082799,-0.8228368762792375,no,Young,Loyal Customer,-0.4525439785343922
4671-vjlcl,female,0,no,no,1.24587756220135,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),0.5003282332334644,1.1374472686544572,no,Middle-aged,Loyal Customer,-0.44967734122636105
4080-iiard,female,0,yes,no,-0.791320501614164,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,electronic check,0.3790006149345245,-0.5743600959347432,no,Young,Loyal Customer,-0.16870932796149168
3714-ntnfo,female,0,no,no,0.6754621043330061,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,0.6548962949019775,0.7162235363499369,no,Young,Loyal Customer,-0.4217259959208047
5948-ujzlf,male,0,no,no,-1.2395040756535771,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,-0.5168293338754589,-0.9645683494427119,no,Young,New Customer,0.9788402663415461
7760-oypdy,female,0,no,no,-1.2395040756535771,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,0.526920587929123,-0.9437663604632323,yes,Young,New Customer,1.9390324245756347
7639-liayi,male,0,no,no,0.797693988161937,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),0.4970041888965074,0.8534769567426433,no,Young,Loyal Customer,-0.4333972814286421
2954-pibko,female,0,yes,yes,1.4903413298592119,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),-0.021546727668825993,0.8694920617257846,no,Middle-aged,Loyal Customer,-0.4703337149275194
8012-soudq,female,1,no,no,0.4309983366751445,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,0.8460288442770204,0.6862448480963709,no,Senior,Loyal Customer,-0.3988313812210281
9420-lojkx,female,0,no,no,-0.7098325790615434,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),1.1402067680977384,-0.3780537333383605,yes,Young,Loyal Customer,-0.12313822863390293
6575-suvoi,female,1,yes,no,-0.3023929662984406,yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),0.15628964435838757,-0.23411632284938455,no,Senior,Loyal Customer,-0.35717232580008845
7495-ookfy,female,1,yes,no,-0.9950403079957154,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),0.526920587929123,-0.727959511909416,yes,Senior,New Customer,0.08936289683090773
4667-qonea,female,1,yes,yes,1.1236456783724194,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),0.33412601638560113,0.9587222265423222,no,Senior,Loyal Customer,-0.4508980890162502
1658-bygoy,male,1,no,no,-0.5876006952326126,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,1.0188791497987983,-0.23416044159589464,yes,Senior,Loyal Customer,-0.2028824252147736
8769-kktph,female,0,yes,yes,1.24587756220135,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),1.1584890119510036,1.7770587961836308,no,Middle-aged,Loyal Customer,-0.4304560241370526
5067-xjqfu,male,1,yes,yes,1.368109446030281,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,1.451004913603243,2.114633385105133,no,Senior,Loyal Customer,-0.42669868908160125
3957-sqxml,female,0,yes,yes,0.06430268518835193,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),-1.3245721077560746,-0.6128095835182352,no,Young,Loyal Customer,-0.48231389276963793
5954-bdfsg,female,0,no,no,1.6125732136881425,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card (automatic),1.419426492402149,2.457590461100858,no,Middle-aged,Loyal Customer,-0.4358802215732401
0434-csfon,female,0,yes,no,0.5939741817803856,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,1.1867433888151402,1.0693499834162248,no,Young,Loyal Customer,-0.3964180169402701
1215-figmp,male,0,no,no,1.1236456783724194,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),0.8343946890976701,1.3974169824648146,no,Young,Loyal Customer,-0.43555743935444236
0526-sxdjp,male,0,yes,no,1.6125732136881425,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer (automatic),-0.7544985039679034,0.2994337380696746,no,Middle-aged,Loyal Customer,-0.4914327402821125
0557-askvu,female,0,yes,yes,-0.5876006952326126,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),-0.3456410505221597,-0.5851030107099358,no,Young,Loyal Customer,-0.34235832081105577
5698-bqjoh,female,0,no,no,-0.9542963467194051,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,0.9839766842607471,-0.6291555791002016,yes,Young,New Customer,0.11429357609857443
5122-cyfxa,female,0,no,no,-1.1987601143772668,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,0.3490842159019089,-0.8996696733264564,no,Young,New Customer,1.0078906660333418
8627-zygsz,male,0,yes,no,0.5939741817803856,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic check,0.4687498120323708,0.6031251296714726,no,Young,Loyal Customer,-0.4245250105950422
3410-yoqbq,female,0,no,no,-0.05792919864057891,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,0.4787219450432425,0.09436980429105073,no,Young,Loyal Customer,-0.3709429057558598
3170-nmyvv,female,0,yes,yes,0.7162060656093164,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),-1.4841262359300234,-0.5966621222955638,no,Young,Loyal Customer,-0.5025466417314532
7410-oiedu,male,0,no,no,-0.9135523854430948,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,mailed check,0.5003282332334644,-0.6158758364006823,no,Young,New Customer,-0.03884110391420114
2273-qckxa,male,0,no,no,-1.2802480369298874,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,-0.5234774225493735,-0.9857232883942716,no,Young,New Customer,2.472642397861776
0731-ebjqb,female,0,yes,yes,0.797693988161937,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,-1.4758161250876303,-0.5261824247457894,no,Young,Loyal Customer,-0.5032005697569042
1891-qrqsa,male,1,yes,yes,1.2866215234776603,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),1.5557123102173966,2.124626281189655,no,Senior,Loyal Customer,-0.4205480661803479
8028-pnxhq,male,0,yes,yes,1.2051336009250397,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),-1.3478404181147754,-0.3788478707755411,no,Middle-aged,Loyal Customer,-0.503272655115941
5630-ahzil,female,0,no,yes,-1.1987601143772668,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),-0.009912572489475751,-0.929096877248647,no,Young,New Customer,0.7877192157376273
2673-cxqeu,female,1,no,no,0.9606698332671781,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic check,1.5191478225108668,1.7013069084259078,no,Senior,Loyal Customer,-0.4065143204645744
6416-jnvrk,female,0,no,no,0.5532302205040753,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),-0.30409049631019386,0.17892338197752508,no,Young,Loyal Customer,-0.4532048370009305
5590-zskrv,female,0,yes,yes,-0.9950403079957154,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,-0.3373309396797665,-0.7946008785128177,no,Young,New Customer,-0.10940299579716796
0191-zhskz,male,1,no,no,-0.09867315991688919,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,0.33080197204864403,-0.07588443849115852,no,Senior,Loyal Customer,-0.37480642806914327
3887-pbqao,female,0,yes,yes,0.512486259227765,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),-1.2929936865549807,-0.47061486351640547,no,Young,Loyal Customer,-0.49199336203055066
5919-tmrgd,female,0,no,yes,-1.2802480369298874,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,0.48370801154867815,-0.9723553082017324,yes,Young,New Customer,4.325752104517374
8108-uxrqn,female,0,yes,yes,-0.8728084241667845,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,-0.47361675749501453,-0.757938200162982,no,Young,New Customer,-0.24614142018378996
9191-myqkx,female,0,yes,no,-1.0357842692720256,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),0.3440981493964733,-0.7881374821490981,yes,Young,New Customer,0.12938910542881413
9919-ylnng,female,0,no,no,0.3902543753988342,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),1.2964368519347298,0.9018752216641471,no,Young,Loyal Customer,-0.37604416439686394
0318-zopws,female,0,yes,no,0.6754621043330061,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),-1.4841262359300234,-0.5779337144020558,no,Young,Loyal Customer,-0.5020436423297006
4445-zjnmu,male,0,no,no,-0.9542963467194051,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),1.1468548567716528,-0.6020225499965326,no,Young,New Customer,0.14759111024823496
4808-ynleu,female,0,yes,no,0.10504664646466222,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),-0.08802761440797156,-0.029934764000961456,no,Young,Loyal Customer,-0.4185931708627421
1862-qrwpe,female,0,yes,yes,0.6347181430566958,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),-1.4675060142452372,-0.5410283829464149,no,Young,Loyal Customer,-0.5008826144508618
2796-nnufi,female,0,yes,yes,0.5532302205040753,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,-1.4907743246039378,-0.5983386346629451,no,Young,Loyal Customer,-0.500669334437869
3016-ksvcp,male,0,yes,no,-0.13941712119319946,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,-1.0320562061038352,-0.5620950844049546,no,Young,Loyal Customer,-0.4560174970200131
4767-hzzhq,male,0,yes,yes,-0.09867315991688919,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),0.5734572086465244,0.1265764892433733,no,Young,Loyal Customer,-0.3599244689287849
2424-wvhpl,male,1,no,no,-1.2802480369298874,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,no,electronic check,0.32913994988016554,-0.9744068299144488,no,Senior,New Customer,4.041363981218743
7233-pahhl,male,0,yes,yes,1.368109446030281,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,0.6382760732171912,1.5136919388920012,no,Middle-aged,Loyal Customer,-0.4493552208986477
6067-ngceu,female,0,no,no,1.3273654847539706,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),1.5374300663641316,2.128155780910457,no,Middle-aged,Loyal Customer,-0.42270626389024446
9848-jqjtx,male,0,no,no,1.6125732136881425,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),1.2000395661629695,2.283475827999021,no,Middle-aged,Loyal Customer,-0.4414864390576217
8637-xjivr,female,0,no,no,-0.8320644628904743,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,0.47041183420084937,-0.59822833779667,yes,Young,New Customer,-0.12482009387921741
9803-ftjcg,male,0,yes,yes,1.5718292524118322,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card (automatic),0.06820246942901982,1.0877033819643973,no,Middle-aged,Loyal Customer,-0.4696096474241088
0278-yxoog,male,0,no,no,-1.1172721918246462,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,-1.4542098368974081,-0.9571343406557717,yes,Young,New Customer,-0.26971533304373513
3212-kxocr,male,0,no,no,0.797693988161937,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),-1.4558718590658866,-0.5188807721983792,no,Young,Loyal Customer,-0.5024948920315975
4598-xlknj,female,1,yes,no,-0.3023929662984406,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,1.1202625020759949,0.10200234743728616,yes,Senior,Loyal Customer,-0.28622819181591375
6380-arceh,male,0,no,no,-1.2802480369298874,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,-1.4824642137615447,-0.9984515467624158,no,Young,New Customer,0.7082128586863969
3679-xaspy,female,0,yes,yes,-1.2802480369298874,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,-1.5073945462887242,-0.998782437361241,no,Young,New Customer,0.6623438065414564
7123-wquhx,male,0,no,no,0.22727853029359305,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer (automatic),1.0039209502824906,0.5833819906082337,no,Young,Loyal Customer,-0.3742967719341995
5386-thslq,female,1,yes,no,1.368109446030281,no,no phone service,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),-0.6398189743428778,0.3282212201674698,no,Senior,Loyal Customer,-0.48498481796880855
3192-nqeca,male,0,yes,no,1.4495973685829016,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),1.5025276008260804,2.3508892726663486,yes,Middle-aged,Loyal Customer,-0.42826036269295314
6180-ybiqi,male,0,no,no,-1.1172721918246462,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,-1.346178395946297,-0.963156549554391,no,Young,New Customer,-0.22996215451811997
6728-dkuco,female,0,yes,yes,1.6125732136881425,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,1.3080710071140806,2.214650583443373,no,Middle-aged,Loyal Customer,-0.4387258016600095
9750-boohv,female,0,no,no,-0.01718523736426863,no,no phone service,dsl,yes,no,no,no,no,no,one year,no,mailed check,-1.1517218022342968,-0.5980959815571398,no,Young,Loyal Customer,-0.4695706156602531
8597-cwyhh,male,0,no,no,0.4309983366751445,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed check,0.9823146620922681,0.7226648733404015,no,Young,Loyal Customer,-0.392999966839811
2848-yxsmw,male,0,yes,yes,1.6125732136881425,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),-1.509056568457203,-0.4059147217594451,no,Middle-aged,Loyal Customer,-0.510714730720819
0486-heczi,male,0,yes,no,0.9199258719908678,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,1.0620917261792426,1.303973477356569,yes,Young,Loyal Customer,-0.4196098355682923
4549-zdqyy,female,0,no,no,0.797693988161937,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),-0.2276374765601766,0.3348390321439745,no,Young,Loyal Customer,-0.4590369054481217
5712-ahqnn,female,0,no,no,0.4309983366751445,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,0.8925654649944222,0.7371358221956916,no,Young,Loyal Customer,-0.39684016655427107
4846-whafz,female,1,yes,no,0.18653456901728277,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,0.3889727479453962,0.25802829447001063,yes,Senior,Loyal Customer,-0.4007437929907418
5256-skjgo,female,0,yes,yes,1.2866215234776603,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,-0.33899296184824507,0.5030417532134674,no,Middle-aged,Loyal Customer,-0.4750175656024648
3071-vbypo,male,0,yes,yes,-1.1987601143772668,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,0.8327326669291911,-0.897772567226525,no,Young,New Customer,1.304510536570624
9560-bbzxk,female,0,no,no,0.1457906077409725,no,no phone service,dsl,yes,no,no,no,no,no,two year,no,bank transfer (automatic),-1.1218054032016815,-0.5104320322417084,no,Young,Loyal Customer,-0.47444420245065305
5299-ruloa,female,0,yes,yes,-0.9135523854430948,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,1.178433277972747,-0.5376532988383974,yes,Young,New Customer,0.08592271792003717
8402-ooohj,female,0,no,no,0.3495104141225239,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,-1.4675060142452372,-0.6389058220789184,no,Young,Loyal Customer,-0.49639049284682984
9445-zueqe,male,0,yes,yes,-0.22090504374582004,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),0.6781646052606785,-0.05810458364761617,no,Young,Loyal Customer,-0.33420382265195525
1091-sozga,female,0,yes,yes,0.9606698332671781,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),1.1634750784564392,1.4259838708300596,no,Young,Loyal Customer,-0.4182000075586426
2928-hldba,female,0,no,no,-1.076528230548336,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,-1.4658439920767583,-0.957619646867382,no,Young,New Customer,-0.3161959725506082
0404-swrvg,male,0,no,no,-1.1987601143772668,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,0.3191678168692938,-0.9060889509436658,yes,Young,New Customer,0.9895430451753657
6497-tilvl,female,0,yes,yes,-1.0357842692720256,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,-0.46863069098957844,-0.8527935051595485,no,Young,New Customer,-0.08422962313190892
7219-tlzho,female,0,yes,yes,-1.1580161531009565,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,-1.4608579255713225,-0.9796128420026324,no,Young,New Customer,-0.20840370000999792
